name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Maruti Vitara Brezza LDi Option,2017,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Fiat Palio 1.2 ELX,2003,50000,Petrol,Individual,Manual,Second Owner,,,,,Fiat
Maruti Omni 8 Seater BSIV,2012,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,Maruti
Hyundai i20 1.2 Asta Dual Tone,2018,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai
Maruti Vitara Brezza LDi,2017,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Maruti Alto 800 CNG LXI Optional,2019,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,Maruti
Maruti Alto K10 VXI Airbag,2019,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,Maruti
Hyundai Verna VTVT 1.6 SX Option,2019,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai
Datsun GO D,2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,Datsun
Tata Safari DICOR 2.2 LX 4x2,2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,Tata
Maruti 800 Std,2012,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,Maruti
Jeep Compass 1.4 Limited Plus BSIV,2019,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,Jeep
Honda City i VTEC VX,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,Honda
Honda City V MT,2013,86300,Petrol,Partnership,Manual,First Owner,16.8,1497.0,116.3,5.0,Honda
Maruti Swift Dzire VXi AT,2018,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,Maruti
Maruti Vitara Brezza VDi,2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Maruti Alto K10 VXI,2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti
Toyota Fortuner 4x4 MT,2014,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,Toyota
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,Toyota
Mercedes-Benz B Class B180,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,Mercedes
Honda Amaze S Diesel,2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,Honda
Mitsubishi Pajero Sport 4X4,2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,Mitsubishi
Honda City i DTEC S,2015,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,Honda
Maruti Ciaz Zeta,2018,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,Maruti
Honda Jazz VX Diesel,2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,Honda
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,Toyota
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,Toyota
Audi A6 2.0 TDI Technology,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,Audi
Toyota Corolla Altis 1.8 VL CVT,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,Toyota
Audi A6 2.0 TDI  Design Edition,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,Audi
Mercedes-Benz New C-Class 220 CDI AT,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,Mercedes
Tata Manza ELAN Quadrajet BS IV,2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,Tata
Hyundai i10 Magna,2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,i10
Hyundai i20 Asta 1.4 CRDi,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,Hyundai
Maruti Swift Dzire ZDI,2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,Maruti
Ford Figo 1.2P Titanium MT,2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,Ford
Maruti Baleno Delta 1.2,2019,30000,Petrol,Individual,Manual,Rent,21.4,1197.0,83.1,5.0,Maruti
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,Volkswagen
Honda City i DTEC VX,2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,Honda
Maruti Wagon R AMT VXI,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,Maruti
Volkswagen Ameo 1.5 TDI Comfortline,2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,Volkswagen
Maruti Vitara Brezza VDi,2016,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Maruti Vitara Brezza ZDi Plus AMT,2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,Maruti
Hyundai i10 Magna,2011,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,Hyundai
Maruti Swift VDI Deca,2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,Maruti
Toyota Fortuner 4x4 MT,2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,Toyota
Maruti Swift Star VDI,2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti
Maruti Ertiga ZXI,2012,120000,Petrol,Partnership,Manual,Second Owner,16.02,1373.0,93.7,7.0,Maruti
Tata Indica DLS,2003,70000,Diesel,Individual,Manual,First Owner,,,,,Tata
Volkswagen Vento Diesel Highline,2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,Volkswagen
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,Toyota
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,Ford
BMW X1 sDrive20i xLine,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,BMW
Maruti Celerio ZXI MT BSIV,2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti
Datsun GO A Petrol,2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,Datsun
Maruti Alto 800 VXI BSIV,2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti
Maruti Alto 800 LXI BSIV,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti
Maruti Swift VDI BSIV W ABS,2015,78000,Diesel,Dealer,Manual,First Owner,,,,,Maruti
Hyundai i10 Era 1.1,2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,Hyundai
Maruti Omni 8 Seater BSIV,2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,Maruti
Maruti Wagon R LXI LPG BSIV,2010,44000,LPG,Dealer,Manual,Rent,26.2,998.0,58.2,5.0,Maruti
Volkswagen Polo 1.2 MPI Comfortline,2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,Volkswagen
Hyundai i10 Magna 1.1L,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,Hyundai
Volkswagen Vento Petrol Highline,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,Volkswagen
Maruti Zen Estilo LXI BSIII,2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,Maruti
Hyundai i20 Asta Optional with Sunroof 1.2,2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,Hyundai
Maruti Swift Dzire LDI,3,150000,Diesel,Individual,Manual,Rent,26.59,1248.0,74.0,5.0,Maruti
Hyundai Xcent 1.2 Kappa SX Option AT,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,Hyundai
Maruti Alto LX BSIII,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,Maruti
Hyundai i20 1.4 Asta Option,2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai
Maruti Wagon R VXI,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,Maruti
Tata Manza Aura (ABS) Quadrajet,2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,Tata
Maruti Swift VXI,2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,Maruti
Maruti Eeco 7 Seater Standard BSIV,6,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,Maruti
Maruti Baleno Zeta 1.2,2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,Maruti
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,Mahindra
Ford Freestyle Titanium Petrol BSIV,2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,Ford
Hyundai Verna VTVT 1.6 SX,2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai
Volkswagen Passat 1.8 TSI MT,2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,Volkswagen
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,Tata
Mahindra XUV500 W11 Option AWD,2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,Mahindra
Tata Indigo CS LS (TDI) BS-III,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,Tata
Hyundai Verna 1.6 SX,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,Hyundai
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai
Toyota Corolla Altis G,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,Toyota
Maruti Celerio VXI,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,Maruti
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Maruti Swift Dzire VXI,2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,Maruti
Maruti Wagon R VXI BS IV,2017,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,Maruti
Maruti Swift VDI BSIV,2010,120000,Diesel,Individual,Manual,Second Owner,,,,,Maruti
Nissan Terrano XL 85 PS,2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,Nissan
Hyundai Creta 1.6 CRDi SX,2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,Hyundai
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,76139,Diesel,Individual,Ai,First Owner,23.0,1498.0,98.96,5.0,Ford
Maruti Swift Dzire VDi,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,Maruti
Renault KWID 1.0,2018,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,Renault
Maruti Celerio VXI,2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,Maruti
Maruti Alto LXi,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,Alto
Maruti Ertiga VDI,2013,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,Maruti
Hyundai Santro Xing GLS,2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,Hyundai
Maruti Ertiga VDI,2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,Maruti
Honda Amaze S i-VTEC,2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,Honda
Audi Q5 35TDI Premium Plus,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,Audi
Lexus ES 300h,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0,Lexus
Jaguar XF 2.0 Diesel Portfolio,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,Jaguar
Jeep Wrangler 2016-2019 3.6 4X4,2017,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,Jeep
Land Rover Discovery Sport TD4 SE,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,Land
Mercedes-Benz S-Class S 350 CDI,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0,Mercedes
BMW 5 Series 520d Sport Line,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,BMW
BMW X1 sDrive 20D xLine,2017,27000,Diesel,Dealer,Automatic,First Owner,,,,,BMW
BMW X4 M Sport X xDrive20d,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,BMW
Skoda Superb LK 1.8 TSI AT,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,Skoda
Mercedes-Benz E-Class E250 Edition E,2016,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,Mercedes
MG Hector Sharp AT BSIV,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,MG
Honda City i-VTEC CVT VX,2017,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,Honda
Toyota Corolla Altis 1.8 G CVT,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,Toyota
Volvo XC40 D4 R-Design,2018,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,Volvo
Audi Q7 35 TDI Quattro Premium,2015,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,Audi
Maruti Ciaz ZDi,2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,Maruti
Mercedes-Benz S-Class S 350 CDI,2017,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0,Mercedes
BMW 5 Series 523i,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0,BMW
Hyundai Elantra S,2016,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,Hyundai
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,Jaguar
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,Tata
Volkswagen Vento Petrol Highline,2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,Volkswagen
Hyundai Elantra SX,2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,Hyundai
Skoda Rapid 1.6 MPI AT Elegance,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,Skoda
Mercedes-Benz CLA 200 CGI Sport,2018,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,Mercedes
Maruti Ertiga ZXI,2014,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,Maruti
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,Mercedes
Honda City V AT,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,Honda
Toyota Glanza V CVT,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,Toyota
Maruti Alto K10 VXI,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti
Maruti Swift VXI,2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,Maruti
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,Toyota
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,Tata
BMW 3 Series 320d Luxury Line,2016,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,BMW
Toyota Camry 2.5 Hybrid,2016,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,Toyota
BMW 5 Series 520d Luxury Line,2016,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,BMW
Toyota Camry W4 (AT),2009,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,Toyota
Maruti Ertiga BSIV ZXI Plus,2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,Maruti
Volvo XC90 T8 Excellence BSIV,2017,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0,Volvo
Volkswagen Vento Diesel Highline,2011,100000,Diesel,Partnership,Manual,Rent,20.54,1598.0,103.6,5.0,Volkswagen
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,Ford
Ford Figo Diesel LXI,2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,Ford
Maruti Swift VXI Optional,2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,Maruti
Maruti Wagon R AMT VXI,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,Maruti
Hyundai i20 Magna 1.2,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,Hyundai
Maruti 800 Std,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,Maruti
Maruti Ritz VDi,2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,Maruti
Hyundai Grand i10 Magna,2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,Hyundai
Volkswagen Ameo 1.0 MPI Trendline,2019,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,Volkswagen
Hyundai Grand i10 Sportz,2014,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,Hyundai
Maruti Swift Dzire VXI,2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,Maruti
Hyundai Xcent 1.2 Kappa S,2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,Hyundai
Honda City 1.5 EXI,2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,Honda
Toyota Corolla Altis Diesel D4DG,2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,Corolla
Daewoo Matiz SD,2000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,Daewoo
Toyota Fortuner 4x2 Manual,2014,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,Fortuner
Mahindra KUV 100 mFALCON G80 K8,2016,15000,Petrol,Individual,Ai,Second Owner,18.15,1198.0,82.0,6.0,Mahindra
Tata Zest Quadrajet 1.3 75PS XM,2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,Tata
Honda City 1.5 S MT,2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,Honda
Maruti Zen LXI,2005,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,Maruti
Maruti Wagon R VXI BS IV with ABS,2010,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,Maruti
Hyundai Verna Transform SX VTVT,2010,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,Hyundai
Maruti Swift Dzire VXI,2016,60000,Electric,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,Maruti
Hyundai Getz GLS,2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0,Hyundai
Hyundai Elite i20 Sportz Plus BSIV,2020,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,Hyundai
Maruti Ciaz 1.3 Alpha,2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,Maruti
Tata Tigor 1.2 Revotron XZ,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,Tigor
Maruti Ertiga VDI,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,Maruti
Toyota Etios GD,2012,120000,Diesel,Individual,Manual,First Owner,,,,,Toyota
Honda City i VTEC S,2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,Honda
Honda Brio S MT,2014,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0,Honda
Maruti Wagon R LXI CNG,2016,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,Maruti
Maruti Swift Dzire VXI,2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,Maruti
Hyundai i20 Sportz 1.2,2013,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,Hyundai
Maruti Omni E 8 Str STD,2003,90000,Petrol,Individual,Manual,Second Owner,,,,,Maruti
Maruti Wagon R AMT VXI,2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,Maruti
Maruti Swift Dzire VXI 1.2,2017,20000,Petrol,Individual,Ai,First Owner,21.21,1197.0,81.8,5.0,Maruti
Maruti Alto 800 LXI,2018,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti
Maruti Swift Dzire AMT VXI BS IV,2018,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,Maruti
Maruti Swift VXI Optional,2017,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,Maruti
Tata Hexa XE,2019,15000,Diesel,Individual,Manual,Rent,17.6,2179.0,147.94,7.0,Tata
Hyundai i20 Magna,2013,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0,Hyundai
Maruti Swift Dzire VDI,2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,Maruti
Maruti Wagon R VXI BS IV,2015,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,Maruti
Toyota Corolla Altis 1.8 VL AT,2012,100000,Petrol,Individual,Automatic,First Owner,14.53,1794.0,138.1,5.0,Toyota
Honda Brio S MT,2012,60000,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,5.0,Honda
